"wikidata_uri","label","birth_year","gender"
http://www.wikidata.org/entity/Q102306829,Dixie Tighe,1905,female
http://www.wikidata.org/entity/Q102449,Frauke Eigen,1969,female
http://www.wikidata.org/entity/Q10327828,May Christie,1890,female
http://www.wikidata.org/entity/Q109326653,Lola Bañon,1964,female
http://www.wikidata.org/entity/Q109773247,Agnès Vahramian,1967,female
http://www.wikidata.org/entity/Q110701261,Polonca Frelih,1974,female
http://www.wikidata.org/entity/Q1113742,Clare Hollingworth,1911,female
http://www.wikidata.org/entity/Q111468993,Margarita Seidler,1971,female
http://www.wikidata.org/entity/Q111750813,Phyllis Davies,1909,female
http://www.wikidata.org/entity/Q112537327,Gwen Florio,1955,female
http://www.wikidata.org/entity/Q112543647,Chiara Giannini,1974,female
http://www.wikidata.org/entity/Q112556482,Ìnna Zolotuchìna,1974,female
http://www.wikidata.org/entity/Q113371908,Rita Marrafa de Carvalho,1977,female
http://www.wikidata.org/entity/Q116259672,Simone van Driel,1962,female
http://www.wikidata.org/entity/Q120085,Martha Gellhorn,1908,female
http://www.wikidata.org/entity/Q12018051,Galina Sanko,1904,female
http://www.wikidata.org/entity/Q120621135,Else-Marie Ambrosius,1907,female
http://www.wikidata.org/entity/Q122665124,Trisha Stratford,1951,female
http://www.wikidata.org/entity/Q123110455,Roser Oliver Olivella,1965,female
http://www.wikidata.org/entity/Q124526899,Marjorie McDonald,1911,female
http://www.wikidata.org/entity/Q124535829,Lorraine Stumm,1914,female
http://www.wikidata.org/entity/Q124576392,Germaine Kanova,1902,female
http://www.wikidata.org/entity/Q12751126,Dragica Srzentić,1912,female
http://www.wikidata.org/entity/Q1304314,Janine di Giovanni,1961,female
http://www.wikidata.org/entity/Q131389584,Xuân Phượng,1929,female
http://www.wikidata.org/entity/Q131463907,Sara Castrejón,1888,female
http://www.wikidata.org/entity/Q133653,Lara Logan,1971,female
http://www.wikidata.org/entity/Q134426333,Diane Willman,1943,female
http://www.wikidata.org/entity/Q135035388,Alice Cantacuzino,1899,female
http://www.wikidata.org/entity/Q13560889,Lynsey Addario,1973,female
