"wikidata_uri","label","birth_year","gender","label","geo_coordinates","wikidata_uri"
http://www.wikidata.org/entity/Q100525,Thomas Dworzak,1972,male,Bad Kötzting,POINT(12.855000 49.176944),http://www.wikidata.org/entity/Q623464
http://www.wikidata.org/entity/Q101110503,Semyon Pegov,1985,male,Smolensk,POINT(32.045278 54.782778),http://www.wikidata.org/entity/Q2337
http://www.wikidata.org/entity/Q102306829,Dixie Tighe,1905,female,Charleston,POINT(-79.931944 32.783333),http://www.wikidata.org/entity/Q47716
http://www.wikidata.org/entity/Q102311108,Demaree Bess,1893,male,Kansas City,POINT(-94.583333 39.050000),http://www.wikidata.org/entity/Q41819
http://www.wikidata.org/entity/Q102407351,Harold Denny,1889,male,Des Moines,POINT(-93.620833 41.590833),http://www.wikidata.org/entity/Q39709
http://www.wikidata.org/entity/Q102449,Frauke Eigen,1969,female,Aurich,POINT(7.483611 53.471389),http://www.wikidata.org/entity/Q14839
http://www.wikidata.org/entity/Q102591,Jockel Finck,1962,male,Einbeck,POINT(9.866667 51.816667),http://www.wikidata.org/entity/Q47244
http://www.wikidata.org/entity/Q10327828,May Christie,1890,female,People's Republic of China,POINT(103.451944 35.844722),http://www.wikidata.org/entity/Q148
http://www.wikidata.org/entity/Q103992387,Semyon Valdimirovich Alperin,1897,male,Simferopol,POINT(34.100039 44.948376),http://www.wikidata.org/entity/Q19566
http://www.wikidata.org/entity/Q104585883,Jean Péraud,1925,male,Le Perreux-sur-Marne,POINT(2.503611 48.842222),http://www.wikidata.org/entity/Q990408
http://www.wikidata.org/entity/Q104590752,Daniel Camus,1929,male,Reims,POINT(4.028611 49.265278),http://www.wikidata.org/entity/Q41876
http://www.wikidata.org/entity/Q104621531,Pierre Ferrari,1924,male,Massiac,POINT(3.197222 45.251389),http://www.wikidata.org/entity/Q470686
http://www.wikidata.org/entity/Q105763844,Alfred Grohs,1880,male,Böhmisch-Rixdorf,POINT(13.443900 52.473900),http://www.wikidata.org/entity/Q325748
http://www.wikidata.org/entity/Q1064279,Charles Enderlin,1945,male,Paris,POINT(2.352222 48.856667),http://www.wikidata.org/entity/Q90
http://www.wikidata.org/entity/Q106481431,Ruslan Leviev,1986,male,Bikin,POINT(134.250000 46.816667),http://www.wikidata.org/entity/Q105056
http://www.wikidata.org/entity/Q106490483,Peter Kelley,1919,male,Eureka,POINT(-124.163611 40.801944),http://www.wikidata.org/entity/Q488702
http://www.wikidata.org/entity/Q106588481,Jean-Philippe Rémy,1966,male,Rouen,POINT(1.102500 49.443056),http://www.wikidata.org/entity/Q30974
http://www.wikidata.org/entity/Q1067926,Chas Gerretsen,1943,male,Groningen,POINT(6.567500 53.218889),http://www.wikidata.org/entity/Q749
http://www.wikidata.org/entity/Q106926237,Eustaquio Berriochoa,1899,male,Urretxu,POINT(-2.313889 43.091667),http://www.wikidata.org/entity/Q904269
http://www.wikidata.org/entity/Q106966862,Alessio Romenzi,1974,male,Colle Sant'Angelo,POINT(12.786710 42.541570),http://www.wikidata.org/entity/Q18494650
http://www.wikidata.org/entity/Q107002,Evelyn Waugh,1903,male,London,POINT(-0.127500 51.507222),http://www.wikidata.org/entity/Q84
http://www.wikidata.org/entity/Q107098092,Яфім Іванавіч Пернікаў,1903,male,Minsk,POINT(27.561837 53.902246),http://www.wikidata.org/entity/Q2280
