uriPer,labelPer,birthYear,gender,labelPlace,geometry,uriPlace,periods,FID,REGION,CNTR_ID,CNTR_NAME,NAME_ENGL,ISO3_CODE,coded_country,activityYear,periodsActivity
http://www.wikidata.org/entity/Q18291610,Charles Lewis Gruneisen,1806,male,Bloomsbury,POINT (-0.125 51.523056),http://www.wikidata.org/entity/Q150120,1801-1810,24,Northern Europe,UK,United Kingdom,United Kingdom,GBR,United Kingdom,1851,1846-1870
http://www.wikidata.org/entity/Q5940332,José Gómez de la Carrera,1801,male,Spain,POINT (-3.5 40.2),http://www.wikidata.org/entity/Q29,1801-1810,19,Southern Europe,ES,España,Spain,ESP,Spain Port.,1846,1846-1870
http://www.wikidata.org/entity/Q21079155,John McCosh,1805,male,Kirkmichael,POINT (-4.61467 55.3461),http://www.wikidata.org/entity/Q3776817,1801-1810,24,Northern Europe,UK,United Kingdom,United Kingdom,GBR,United Kingdom,1850,1846-1870
http://www.wikidata.org/entity/Q1388736,Julius von Wickede,1819,male,Schwerin,POINT (11.415 53.628889),http://www.wikidata.org/entity/Q1709,1811-1820,22,Western Europe,DE,Deutschland,Germany,DEU,Germany,1864,1846-1870
http://www.wikidata.org/entity/Q1348650,James Robertson,1813,male,Middlesex,POINT (-0.416667 51.5),http://www.wikidata.org/entity/Q19186,1811-1820,24,Northern Europe,UK,United Kingdom,United Kingdom,GBR,United Kingdom,1858,1846-1870
http://www.wikidata.org/entity/Q74465,Friedrich Wilhelm Hackländer,1816,male,Burtscheid,POINT (6.093438 50.763723),http://www.wikidata.org/entity/Q328649,1811-1820,22,Western Europe,DE,Deutschland,Germany,DEU,Germany,1861,1846-1870
http://www.wikidata.org/entity/Q75265,Otto von Corvin,1812,male,Gusev,POINT (22.19972 54.59222),http://www.wikidata.org/entity/Q5663,1811-1820,9,European Russia,RU,Россия,Russian Federation,RUS,Russian Federation,1857,1846-1870
http://www.wikidata.org/entity/Q721574,Carol Szathmari,1812,male,Cluj-Napoca,POINT (23.59066 46.76891),http://www.wikidata.org/entity/Q100188,1811-1820,8,Eastern Europe,RO,România,Romania,ROU,Central Europe,1857,1846-1870
http://www.wikidata.org/entity/Q93862,Ferdinando Petruccelli della Gattina,1815,male,Moliterno,POINT (15.86 40.24),http://www.wikidata.org/entity/Q52609,1811-1820,19,Southern Europe,IT,Italia,Italy,ITA,Italy,1860,1846-1870
http://www.wikidata.org/entity/Q76632,Theodor Fontane,1819,male,Neuruppin,POINT (12.8 52.922222),http://www.wikidata.org/entity/Q16085,1811-1820,22,Western Europe,DE,Deutschland,Germany,DEU,Germany,1864,1846-1870
http://www.wikidata.org/entity/Q345666,Roger Fenton,1819,male,"Crimble Hall, Heywood",POINT (-2.20857 53.6045),http://www.wikidata.org/entity/Q114876258,1811-1820,24,Northern Europe,UK,United Kingdom,United Kingdom,GBR,United Kingdom,1864,1846-1870
http://www.wikidata.org/entity/Q2853930,Antoine Fauchery,1823,male,Paris,POINT (2.352222 48.856667),http://www.wikidata.org/entity/Q90,1821-1830,22,Western Europe,FR,France,France,FRA,France,1868,1846-1870
http://www.wikidata.org/entity/Q661176,Alexander Gardner,1821,male,Paisley,POINT (-4.423889 55.845556),http://www.wikidata.org/entity/Q211870,1821-1830,24,Northern Europe,UK,United Kingdom,United Kingdom,GBR,United Kingdom,1866,1846-1870
http://www.wikidata.org/entity/Q2095810,William Simpson,1823,male,Glasgow,POINT (-4.25 55.861111),http://www.wikidata.org/entity/Q4093,1821-1830,24,Northern Europe,UK,United Kingdom,United Kingdom,GBR,United Kingdom,1868,1846-1870
http://www.wikidata.org/entity/Q6937407,Murat Halstead,1829,male,Butler County,POINT (-84.58 39.44),http://www.wikidata.org/entity/Q485561,1821-1830,23,Northern America,US,United States,United States,USA,United States Can.,1874,1871-1895
http://www.wikidata.org/entity/Q18526918,Frank Vizetelly,1830,male,London,POINT (-0.1275 51.507222),http://www.wikidata.org/entity/Q84,1821-1830,24,Northern Europe,UK,United Kingdom,United Kingdom,GBR,United Kingdom,1875,1871-1895
http://www.wikidata.org/entity/Q41692082,John Reekie,1829,male,Scotland,POINT (-5 57),http://www.wikidata.org/entity/Q22,1821-1830,24,Northern Europe,UK,United Kingdom,United Kingdom,GBR,United Kingdom,1874,1871-1895
http://www.wikidata.org/entity/Q38455487,Egbert Guy Fowx,1821,male,Kentucky,POINT (-85 37.5),http://www.wikidata.org/entity/Q1603,1821-1830,23,Northern America,US,United States,United States,USA,United States Can.,1866,1846-1870
http://www.wikidata.org/entity/Q96098920,Carlos Massa Sanguinetti,1823,male,Madrid,POINT (-3.703333 40.416944),http://www.wikidata.org/entity/Q2807,1821-1830,19,Southern Europe,ES,España,Spain,ESP,Spain Port.,1868,1846-1870
http://www.wikidata.org/entity/Q8006207,William Bury Westall,1834,male,Accrington,POINT (-2.36384 53.75337),http://www.wikidata.org/entity/Q1622949,1831-1840,24,Northern Europe,UK,United Kingdom,United Kingdom,GBR,United Kingdom,1879,1871-1895
http://www.wikidata.org/entity/Q1452890,Frederick Gutekunst,1831,male,Germantown,POINT (-75.181944 40.043611),http://www.wikidata.org/entity/Q279890,1831-1840,23,Northern America,US,United States,United States,USA,United States Can.,1876,1871-1895
http://www.wikidata.org/entity/Q22919701,Pyotr Sokalsky,1832,male,Kharkiv,POINT (36.231111 49.9925),http://www.wikidata.org/entity/Q42308,1831-1840,8,Eastern Europe,UA,Україна,Ukraine,UKR,Ukraine,1877,1871-1895
http://www.wikidata.org/entity/Q52170382,Vasily Timiryazev,1840,male,Saint Petersburg,POINT (30.316667 59.95),http://www.wikidata.org/entity/Q656,1831-1840,9,European Russia,RU,Россия,Russian Federation,RUS,Russian Federation,1885,1871-1895
http://www.wikidata.org/entity/Q15431075,John L. Gihon,1839,male,Milford,POINT (-75.094722 40.568611),http://www.wikidata.org/entity/Q1083131,1831-1840,23,Northern America,US,United States,United States,USA,United States Can.,1884,1871-1895
http://www.wikidata.org/entity/Q29877791,Eliza Archard Conner,1838,female,Clermont County,POINT (-84.15 39.05),http://www.wikidata.org/entity/Q485582,1831-1840,23,Northern America,US,United States,United States,USA,United States Can.,1883,1871-1895
http://www.wikidata.org/entity/Q91417,Henry Villard,1835,male,Speyer,POINT (8.433615 49.316555),http://www.wikidata.org/entity/Q6829,1831-1840,22,Western Europe,DE,Deutschland,Germany,DEU,Germany,1880,1871-1895
http://www.wikidata.org/entity/Q20035913,George G. Rockwood,1832,male,Troy,POINT (-73.6925 42.731667),http://www.wikidata.org/entity/Q600301,1831-1840,23,Northern America,US,United States,United States,USA,United States Can.,1877,1871-1895
http://www.wikidata.org/entity/Q6210407,"Joe Howard, Jr.",1833,male,Brooklyn,POINT (-73.949722 40.650833),http://www.wikidata.org/entity/Q18419,1831-1840,23,Northern America,US,United States,United States,USA,United States Can.,1878,1871-1895
http://www.wikidata.org/entity/Q1607516,Archibald Forbes,1838,male,Cambridge,POINT (0.1225 52.208055),http://www.wikidata.org/entity/Q350,1831-1840,24,Northern Europe,UK,United Kingdom,United Kingdom,GBR,United Kingdom,1883,1871-1895
http://www.wikidata.org/entity/Q639274,G. A. Henty,1832,male,Cambridge,POINT (0.1225 52.208055),http://www.wikidata.org/entity/Q350,1831-1840,24,Northern Europe,UK,United Kingdom,United Kingdom,GBR,United Kingdom,1877,1871-1895
http://www.wikidata.org/entity/Q1976958,Nikolay Karazin,1842,male,Kharkov Governorate,POINT (36.229167 50),http://www.wikidata.org/entity/Q2363136,1841-1850,8,Eastern Europe,UA,Україна,Ukraine,UKR,Ukraine,1887,1871-1895
http://www.wikidata.org/entity/Q597124,Josep Lluis Pellicer,1842,male,Barcelona,POINT (2.176944 41.3825),http://www.wikidata.org/entity/Q1492,1841-1850,19,Southern Europe,ES,España,Spain,ESP,Spain Port.,1887,1871-1895
http://www.wikidata.org/entity/Q64685794,Jacob B. de Liefde,1847,male,Holland,POINT (4.667 52.25),http://www.wikidata.org/entity/Q102911,1841-1850,22,Western Europe,NL,Nederland,Netherlands,NLD,Belgium Netherl.,1892,1871-1895
http://www.wikidata.org/entity/Q60623342,Alphons Danzer,1842,male,Timișoara,POINT (21.23 45.759722),http://www.wikidata.org/entity/Q83404,1841-1850,8,Eastern Europe,RO,România,Romania,ROU,Central Europe,1887,1871-1895
http://www.wikidata.org/entity/Q44426442,G. O. Brown,1843,male,New York,POINT (-75 43),http://www.wikidata.org/entity/Q1384,1841-1850,23,Northern America,US,United States,United States,USA,United States Can.,1888,1871-1895
http://www.wikidata.org/entity/Q3814766,Mikhail P. Fyodorov,1845,male,Kursk,POINT (36.187222 51.737222),http://www.wikidata.org/entity/Q3159,1841-1850,9,European Russia,RU,Россия,Russian Federation,RUS,Russian Federation,1890,1871-1895
http://www.wikidata.org/entity/Q4276223,Nikolay Maksimov,1848,male,Parfenyevo,POINT (43.409167 58.482222),http://www.wikidata.org/entity/Q4346173,1841-1850,9,European Russia,RU,Россия,Russian Federation,RUS,Russian Federation,1893,1871-1895
http://www.wikidata.org/entity/Q1678898,Jakob Baechtold,1848,male,Schleitheim,POINT (8.4851 47.7493),http://www.wikidata.org/entity/Q69111,1841-1850,22,Western Europe,DE,Deutschland,Germany,DEU,Germany,1893,1871-1895
http://www.wikidata.org/entity/Q1977210,Vasily Nemirovich-Danchenko,1845,male,Tbilisi,POINT (44.7925 41.7225),http://www.wikidata.org/entity/Q994,1841-1850,21,Western Asia,GE,საქართველო,Georgia,GEO,Russian Federation,1890,1871-1895
http://www.wikidata.org/entity/Q55419434,Edith Dickenson,1851,female,England,POINT (-1 53),http://www.wikidata.org/entity/Q21,1851-1860,24,Northern Europe,UK,United Kingdom,United Kingdom,GBR,United Kingdom,1896,1896-1920
http://www.wikidata.org/entity/Q77475,Ludwig Ganghofer,1855,male,Kaufbeuren,POINT (10.6225 47.88),http://www.wikidata.org/entity/Q14805,1851-1860,22,Western Europe,DE,Deutschland,Germany,DEU,Germany,1900,1896-1920
http://www.wikidata.org/entity/Q5084065,Charles à Court Repington,1858,male,Heytesbury,POINT (-2.1 51.1833),http://www.wikidata.org/entity/Q5749803,1851-1860,24,Northern Europe,UK,United Kingdom,United Kingdom,GBR,United Kingdom,1903,1896-1920
http://www.wikidata.org/entity/Q12292428,Richard von Mach,1853,male,"Jawory, Pomeranian Voivodeship",POINT (17.41916 54.315491),http://www.wikidata.org/entity/Q584495,1851-1860,8,Eastern Europe,PL,Polska,Poland,POL,Poland,1898,1896-1920
http://www.wikidata.org/entity/Q112074603,Edwin Cleary,1857,male,Kentucky,POINT (-85 37.5),http://www.wikidata.org/entity/Q1603,1851-1860,23,Northern America,US,United States,United States,USA,United States Can.,1902,1896-1920
http://www.wikidata.org/entity/Q6200287,Jimmy Hare,1856,male,London,POINT (-0.1275 51.507222),http://www.wikidata.org/entity/Q84,1851-1860,24,Northern Europe,UK,United Kingdom,United Kingdom,GBR,United Kingdom,1901,1896-1920
http://www.wikidata.org/entity/Q94879455,Richard Gädke,1852,male,Spandau,POINT (13.2044 52.5367),http://www.wikidata.org/entity/Q569827,1851-1860,22,Western Europe,DE,Deutschland,Germany,DEU,Germany,1897,1896-1920
http://www.wikidata.org/entity/Q1072114,Nikolai Samokysh,1860,male,Nizhyn,POINT (31.8805 51.047361),http://www.wikidata.org/entity/Q952457,1851-1860,8,Eastern Europe,UA,Україна,Ukraine,UKR,Ukraine,1905,1896-1920
http://www.wikidata.org/entity/Q15963314,Andrew Hilliard Atteridge,1852,male,Liverpool,POINT (-2.991667 53.407222),http://www.wikidata.org/entity/Q24826,1851-1860,24,Northern Europe,UK,United Kingdom,United Kingdom,GBR,United Kingdom,1897,1896-1920
http://www.wikidata.org/entity/Q4722249,Alfred Arthur Greenwood Hales,1860,male,Adelaide,POINT (138.6 -34.9275),http://www.wikidata.org/entity/Q5112,1851-1860,2,Australia/New Zealand,AU,Australia,Australia,AUS,Australia New Z.,1905,1896-1920
http://www.wikidata.org/entity/Q72417490,Adolf Strausz,1853,male,Cece,POINT (18.634611 46.77148),http://www.wikidata.org/entity/Q378836,1851-1860,8,Eastern Europe,HU,Magyarország,Hungary,HUN,Austria Hungary,1898,1896-1920
http://www.wikidata.org/entity/Q3436576,Robert Wilton,1868,male,Norfolk,POINT (0.95 52.6725),http://www.wikidata.org/entity/Q23109,1861-1870,24,Northern Europe,UK,United Kingdom,United Kingdom,GBR,United Kingdom,1913,1896-1920
http://www.wikidata.org/entity/Q1950313,Bas Veth,1861,male,Arnhem,POINT (5.916667 51.983333),http://www.wikidata.org/entity/Q1310,1861-1870,22,Western Europe,NL,Nederland,Netherlands,NLD,Belgium Netherl.,1906,1896-1920
http://www.wikidata.org/entity/Q6688835,Louise Mack,1870,female,Hobart,POINT (147.316667 -42.883333),http://www.wikidata.org/entity/Q40191,1861-1870,2,Australia/New Zealand,AU,Australia,Australia,AUS,Australia New Z.,1915,1896-1920
http://www.wikidata.org/entity/Q90730190,Charles Mills Sheldon,1866,male,Lawrenceburg,POINT (-84.857778 39.096111),http://www.wikidata.org/entity/Q1026789,1861-1870,23,Northern America,US,United States,United States,USA,United States Can.,1911,1896-1920
http://www.wikidata.org/entity/Q123531486,Herbert Henry William Russell,1869,male,Royal Borough of Kensington and Chelsea,POINT (-0.195278 51.502222),http://www.wikidata.org/entity/Q188801,1861-1870,24,Northern Europe,UK,United Kingdom,United Kingdom,GBR,United Kingdom,1914,1896-1920
http://www.wikidata.org/entity/Q1711704,Jules Gervais-Courtellemont,1863,male,Avon,POINT (2.725 48.408889),http://www.wikidata.org/entity/Q791277,1861-1870,22,Western Europe,FR,France,France,FRA,France,1908,1896-1920
http://www.wikidata.org/entity/Q16721278,Vladimir Shuf,1863,male,Moscow,POINT (37.6175 55.750556),http://www.wikidata.org/entity/Q649,1861-1870,9,European Russia,RU,Россия,Russian Federation,RUS,Russian Federation,1908,1896-1920
http://www.wikidata.org/entity/Q18385268,Arthur Radclyffe Dugmore,1870,male,Wales,POINT (-3.633333 52.35),http://www.wikidata.org/entity/Q25,1861-1870,24,Northern Europe,UK,United Kingdom,United Kingdom,GBR,United Kingdom,1915,1896-1920
http://www.wikidata.org/entity/Q5644949,Hamilton Fyfe,1869,male,London,POINT (-0.1275 51.507222),http://www.wikidata.org/entity/Q84,1861-1870,24,Northern Europe,UK,United Kingdom,United Kingdom,GBR,United Kingdom,1914,1896-1920
http://www.wikidata.org/entity/Q2920090,"William Peel, 1st Earl Peel",1867,male,London,POINT (-0.1275 51.507222),http://www.wikidata.org/entity/Q84,1861-1870,24,Northern Europe,UK,United Kingdom,United Kingdom,GBR,United Kingdom,1912,1896-1920
http://www.wikidata.org/entity/Q287994,Edith Durham,1863,female,London,POINT (-0.1275 51.507222),http://www.wikidata.org/entity/Q84,1861-1870,24,Northern Europe,UK,United Kingdom,United Kingdom,GBR,United Kingdom,1908,1896-1920
