person_uri,labelPer,birthYear,gender,labelPlace,geometry,REGION,NAME_ENGL,coded_country,periodsActivity,pk_person_features,occupation_main,occupation_sec1,coded_employer,occupation_sec1_grouped
http://www.wikidata.org/entity/Q1388736,Julius von Wickede,1819,male,Schwerin,POINT (11.415 53.628889),Western Europe,Germany,Germany,1846-1870,316,war-correspondent,other,newspaper,writing_intellectual
http://www.wikidata.org/entity/Q76632,Theodor Fontane,1819,male,Neuruppin,POINT (12.8 52.922222),Western Europe,Germany,Germany,1846-1870,1001,war-correspondent,other,newspaper,journalism_core
http://www.wikidata.org/entity/Q21421315,Peter Vilhelm Grove,1832,male,Præstø,POINT (12.05 55.116667),Northern Europe,Denmark,Western Europe,1871-1895,467,war-correspondent,other,newspaper,journalism_core
http://www.wikidata.org/entity/Q1371063,Timothy H. O'Sullivan,1840,male,Ireland,POINT (-8 53),Northern Europe,Ireland,Western Europe,1871-1895,303,war-photographer,other,enterprise,journalism_core
http://www.wikidata.org/entity/Q1678898,Jakob Baechtold,1848,male,Schleitheim,POINT (8.4851 47.7493),Western Europe,Germany,Germany,1871-1895,375,war-correspondent,other,newspaper,writing_intellectual
http://www.wikidata.org/entity/Q112074603,Edwin Cleary,1857,male,Kentucky,POINT (-85 37.5),Northern America,United States,United States Can.,1896-1920,94,war-correspondent,other,newspaper,other
http://www.wikidata.org/entity/Q1072114,Nikolai Samokysh,1860,male,Nizhyn,POINT (31.8805 51.047361),Eastern Europe,Ukraine,Ukraine,1896-1920,31,war-correspondent,other,other,visual_media
http://www.wikidata.org/entity/Q15963314,Andrew Hilliard Atteridge,1852,male,Liverpool,POINT (-2.991667 53.407222),Northern Europe,United Kingdom,United Kingdom,1896-1920,343,war-correspondent,other,newspaper,journalism_core
http://www.wikidata.org/entity/Q34743,Rudyard Kipling,1865,male,Mumbai,POINT (72.8775 19.075833),Southern Asia,India,Asia-Pacific,1896-1920,626,war-correspondent,other,other,journalism_core
http://www.wikidata.org/entity/Q123531486,Herbert Henry William Russell,1869,male,Royal Borough of Kensington and Chelsea,POINT (-0.195278 51.502222),Northern Europe,United Kingdom,United Kingdom,1896-1920,199,war-correspondent,other,enterprise,writing_intellectual
http://www.wikidata.org/entity/Q287994,Edith Durham,1863,female,London,POINT (-0.1275 51.507222),Northern Europe,United Kingdom,United Kingdom,1896-1920,540,war-correspondent,other,other,journalism_core
http://www.wikidata.org/entity/Q13562982,Rheta Childe Dorr,1866,female,Omaha,POINT (-95.9375 41.258611),Northern America,United States,United States Can.,1896-1920,291,war-correspondent,other,newspaper,journalism_core
http://www.wikidata.org/entity/Q8007849,William Dinwiddie,1867,male,Charlottesville,POINT (-78.479 38.0299),Northern America,United States,United States Can.,1896-1920,1031,war-correspondent,other,agency,journalism_core
http://www.wikidata.org/entity/Q112546143,Percival Phillips,1877,male,Brownsville,POINT (-79.8894 40.02),Northern America,United States,United States Can.,1921-1945,119,war-correspondent,other,newspaper,journalism_core
http://www.wikidata.org/entity/Q110990047,Hachijō Yakichi,1877,male,Osaka Prefecture,POINT (135.519861 34.686333),Eastern Asia,Japan,Asia-Pacific,1921-1945,63,war-correspondent,other,newspaper,visual_media
http://www.wikidata.org/entity/Q21531390,Francisco Goñi,1873,male,Madrid,POINT (-3.703333 40.416944),Southern Europe,Spain,Spain,1896-1920,469,war-photographer,other,newspaper,visual_media
http://www.wikidata.org/entity/Q18011880,Henry Bidou,1873,male,Givet,POINT (4.824167 50.138055),Western Europe,France,France,1896-1920,399,war-correspondent,other,newspaper,journalism_core
http://www.wikidata.org/entity/Q1743447,Kiril Christov,1875,male,Stara Zagora,POINT (25.634595 42.425668),Eastern Europe,Bulgaria,Central/Eastern Europe,1896-1920,390,war-correspondent,other,other,writing_intellectual
http://www.wikidata.org/entity/Q3266155,Ludovic Naudeau,1872,male,Boulogne-sur-Mer,POINT (1.613889 50.725555),Western Europe,France,France,1896-1920,597,war-correspondent,other,newspaper,journalism_core
http://www.wikidata.org/entity/Q12792181,Janko Lavrin,1887,male,Krupa,POINT (15.21945 45.635722),Southern Europe,Slovenia,Central/Eastern Europe,1921-1945,242,war-correspondent,other,other,journalism_core
http://www.wikidata.org/entity/Q4069303,Fedor Aristov,1888,male,Varnavino,POINT (45.092222 57.402778),European Russia,Russian Federation,Russian Fed. Belarus,1921-1945,665,war-correspondent,other,other,writing_intellectual
http://www.wikidata.org/entity/Q15997458,James W. Bagley,1881,male,Fayetteville,POINT (-86.571389 35.152778),Northern America,United States,United States Can.,1921-1945,350,war-photographer,other,agency,visual_media
http://www.wikidata.org/entity/Q6136813,James Jarché,1890,male,Commercial Road,POINT (-0.058611 51.514444),Northern Europe,United Kingdom,United Kingdom,1921-1945,896,war-photographer,other,newspaper,visual_media
http://www.wikidata.org/entity/Q5341389,Edvarts Virza,1883,male,Rāceņi,POINT (25.191111 57.250833),Eastern Europe,Latvia,Central/Eastern Europe,1921-1945,815,war-correspondent,other,newspaper,journalism_core
