"pk_person_features","person_uri","occupation_main","occupation_sec1","coded_employer"
14,http://www.wikidata.org/entity/Q104590752,war-photographer,photojournalist,newspaper
18,http://www.wikidata.org/entity/Q106117785,war-correspondent,writer,newspaper
20,http://www.wikidata.org/entity/Q1064279,war-correspondent,journalist,television
22,http://www.wikidata.org/entity/Q106490483,war-correspondent,newspaper-editor,newspaper
31,http://www.wikidata.org/entity/Q1072114,war-correspondent,painter,other
32,http://www.wikidata.org/entity/Q107647521,war-correspondent,war-photographer,enterprise
42,http://www.wikidata.org/entity/Q108321855,war-photographer,illustrator,other
44,http://www.wikidata.org/entity/Q108429845,war-correspondent,journalist,newspaper
46,http://www.wikidata.org/entity/Q108561804,war-correspondent,journalist,newspaper
51,http://www.wikidata.org/entity/Q109326653,war-correspondent,journalist,television
53,http://www.wikidata.org/entity/Q109773247,war-correspondent,journalist,television
63,http://www.wikidata.org/entity/Q110990047,war-correspondent,painter,newspaper
65,http://www.wikidata.org/entity/Q111288494,war-correspondent,journalist,enterprise
68,http://www.wikidata.org/entity/Q1113742,war-correspondent,journalist,newspaper
74,http://www.wikidata.org/entity/Q111469300,war-correspondent,journalist,agency
81,http://www.wikidata.org/entity/Q111685918,war-correspondent,photographer,newspaper
83,http://www.wikidata.org/entity/Q111765027,war-photographer,television-journalist,television
93,http://www.wikidata.org/entity/Q112054838,war-correspondent,academic-administrator,newspaper
94,http://www.wikidata.org/entity/Q112074603,war-correspondent,actor,newspaper
95,http://www.wikidata.org/entity/Q112103588,war-correspondent,memoirist,newspaper
104,http://www.wikidata.org/entity/Q112326997,war-correspondent,writer,enterprise
119,http://www.wikidata.org/entity/Q112546143,war-correspondent,journalist,newspaper
132,http://www.wikidata.org/entity/Q113499941,war-correspondent,photographer,newspaper
140,http://www.wikidata.org/entity/Q115037452,war-correspondent,journalist,newspaper
142,http://www.wikidata.org/entity/Q115407029,war-photographer,photojournalist,enterprise
143,http://www.wikidata.org/entity/Q115408489,war-photographer,photojournalist,enterprise
150,http://www.wikidata.org/entity/Q115963230,war-correspondent,journalist,agency
152,http://www.wikidata.org/entity/Q116062773,war-correspondent,photojournalist,newspaper
157,http://www.wikidata.org/entity/Q117121102,war-correspondent,war-photographer,agency
158,http://www.wikidata.org/entity/Q11715707,war-correspondent,journalist,newspaper
160,http://www.wikidata.org/entity/Q117220565,war-photographer,cinematographer,agency
169,http://www.wikidata.org/entity/Q118876501,war-correspondent,diplomat,newspaper
170,http://www.wikidata.org/entity/Q11904754,war-correspondent,journalist,newspaper
173,http://www.wikidata.org/entity/Q120085,war-correspondent,journalist,enterprise
180,http://www.wikidata.org/entity/Q12105929,war-correspondent,painter,enterprise
195,http://www.wikidata.org/entity/Q123110455,war-correspondent,journalist,enterprise
197,http://www.wikidata.org/entity/Q123352,war-correspondent,journalist,other
199,http://www.wikidata.org/entity/Q123531486,war-correspondent,novelist,enterprise
205,http://www.wikidata.org/entity/Q12411282,war-correspondent,journalist,enterprise
206,http://www.wikidata.org/entity/Q124158563,war-correspondent,journalist,enterprise
226,http://www.wikidata.org/entity/Q125649890,war-correspondent,reporter,newspaper
232,http://www.wikidata.org/entity/Q1274616,war-correspondent,journalist,other
233,http://www.wikidata.org/entity/Q12749616,war-correspondent,journalist,television
242,http://www.wikidata.org/entity/Q12792181,war-correspondent,journalist,other
245,http://www.wikidata.org/entity/Q128799375,war-correspondent,reporter,newspaper
249,http://www.wikidata.org/entity/Q130211524,war-correspondent,journalist,newspaper
252,http://www.wikidata.org/entity/Q130551164,war-photographer,photojournalist,newspaper
256,http://www.wikidata.org/entity/Q131324277,war-correspondent,filmmaker,other
270,http://www.wikidata.org/entity/Q133284665,war-correspondent,journalist,other
273,http://www.wikidata.org/entity/Q133653,war-correspondent,journalist,newspaper
280,http://www.wikidata.org/entity/Q1348644,war-photographer,journalist,newspaper
286,http://www.wikidata.org/entity/Q135493752,war-correspondent,journalist,newspaper
288,http://www.wikidata.org/entity/Q13560405,war-correspondent,journalist,newspaper
291,http://www.wikidata.org/entity/Q13562982,war-correspondent,journalist,newspaper
296,http://www.wikidata.org/entity/Q136213693,war-correspondent,cinematographer,enterprise
299,http://www.wikidata.org/entity/Q136386664,war-correspondent,journalist,newspaper
300,http://www.wikidata.org/entity/Q136631472,war-correspondent,translator,other
303,http://www.wikidata.org/entity/Q1371063,war-photographer,journalist,enterprise
316,http://www.wikidata.org/entity/Q1388736,war-correspondent,writer,newspaper
318,http://www.wikidata.org/entity/Q139545676,war-correspondent,writer,newspaper
