"pk_person_features","person_uri","occupation_main","occupation_sec1","occupation_sec2","field_sec2","fk_person","notes"
1,http://www.wikidata.org/entity/Q100525,war-photographer,war-photographer,photographer,,1,
2,http://www.wikidata.org/entity/Q101110503,war-correspondent,war-correspondent,journalist,,2,
3,http://www.wikidata.org/entity/Q102261668,war-correspondent,war-correspondent,photojournalist,,3,
4,http://www.wikidata.org/entity/Q102306829,war-correspondent,war-correspondent,reporter,,4,
5,http://www.wikidata.org/entity/Q102311108,war-correspondent,war-correspondent,journalist,,5,
6,http://www.wikidata.org/entity/Q102407351,war-correspondent,war-correspondent,NA,,6,
7,http://www.wikidata.org/entity/Q102449,war-photographer,journalist,photographer,,7,
8,http://www.wikidata.org/entity/Q102591,war-photographer,journalist,photographer,,8,
9,http://www.wikidata.org/entity/Q10327828,war-correspondent,war-correspondent,journalist,,9,
10,http://www.wikidata.org/entity/Q103850479,war-correspondent,war-correspondent,screenwriter,,10,
11,http://www.wikidata.org/entity/Q103992387,war-photographer,war-photographer,photojournalist,,11,
12,http://www.wikidata.org/entity/Q1041417,war-correspondent,war-correspondent,journalist,,12,
13,http://www.wikidata.org/entity/Q104178356,war-correspondent,war-correspondent,journalist,,13,
14,http://www.wikidata.org/entity/Q104585883,war-photographer,war-photographer,photographer,,14,
15,http://www.wikidata.org/entity/Q104590752,war-photographer,war-photographer,photojournalist,,15,
16,http://www.wikidata.org/entity/Q104621531,war-photographer,war-photographer,photographer,,16,
17,http://www.wikidata.org/entity/Q104703923,war-correspondent,war-correspondent,journalist,,17,
18,http://www.wikidata.org/entity/Q105437425,war-photographer,war-photographer,photographer,,18,
19,http://www.wikidata.org/entity/Q105763844,war-correspondent,war-correspondent,photographer,,19,
20,http://www.wikidata.org/entity/Q106117785,war-correspondent,war-correspondent,writer,,20,
21,http://www.wikidata.org/entity/Q1063942,war-photographer,war-photographer,photographer,,21,
22,http://www.wikidata.org/entity/Q1064279,war-correspondent,war-correspondent,journalist,,22,
23,http://www.wikidata.org/entity/Q106481431,NA,director,blogger,,23,
24,http://www.wikidata.org/entity/Q106490483,war-correspondent,war-correspondent,newspaper-editor,,24,
25,http://www.wikidata.org/entity/Q106588481,war-correspondent,war-correspondent,journalist,,25,
26,http://www.wikidata.org/entity/Q1067926,war-correspondent,war-correspondent,war-photographer,,26,
27,http://www.wikidata.org/entity/Q106926237,war-photographer,war-photographer,engineer,,27,
28,http://www.wikidata.org/entity/Q106966862,war-photographer,war-photographer,photographer,,28,
29,http://www.wikidata.org/entity/Q107002,war-correspondent,war-correspondent,journalist,,29,
30,http://www.wikidata.org/entity/Q107098092,war-correspondent,war-correspondent,painter,,30,
31,http://www.wikidata.org/entity/Q107098546,war-photographer,war-photographer,photographer,,31,
32,http://www.wikidata.org/entity/Q107154540,war-photographer,war-photographer,photographer,,32,
33,http://www.wikidata.org/entity/Q1072114,war-correspondent,war-correspondent,painter,,33,
34,http://www.wikidata.org/entity/Q107647521,war-correspondent,war-correspondent,war-photographer,,34,
35,http://www.wikidata.org/entity/Q1077344,war-photographer,journalist,photographer,,35,
36,http://www.wikidata.org/entity/Q107760,war-photographer,journalist,photographer,,36,
37,http://www.wikidata.org/entity/Q108048862,war-correspondent,war-correspondent,journalist,,37,
38,http://www.wikidata.org/entity/Q108167331,war-correspondent,war-correspondent,photographer,,38,
39,http://www.wikidata.org/entity/Q108263442,war-correspondent,war-correspondent,journalist,,39,
40,http://www.wikidata.org/entity/Q108290741,war-correspondent,war-correspondent,journalist,,40,
41,http://www.wikidata.org/entity/Q108290843,war-correspondent,war-correspondent,NA,,41,
42,http://www.wikidata.org/entity/Q108290849,war-correspondent,war-correspondent,photographer,,42,
43,http://www.wikidata.org/entity/Q108290945,war-correspondent,war-correspondent,draftsperson,,43,
44,http://www.wikidata.org/entity/Q108306133,war-correspondent,war-correspondent,journalist,,44,
45,http://www.wikidata.org/entity/Q108321855,war-photographer,war-photographer,illustrator,,45,
46,http://www.wikidata.org/entity/Q108400542,war-correspondent,war-correspondent,journalist,,46,
47,http://www.wikidata.org/entity/Q108429845,war-correspondent,war-correspondent,journalist,,47,
48,http://www.wikidata.org/entity/Q108533798,war-correspondent,war-correspondent,NA,,48,
49,http://www.wikidata.org/entity/Q108561804,war-correspondent,war-correspondent,journalist,,49,
50,http://www.wikidata.org/entity/Q108649,war-photographer,journalist,writer,,50,
51,http://www.wikidata.org/entity/Q108695632,war-correspondent,war-correspondent,writer,,51,
52,http://www.wikidata.org/entity/Q108764280,war-photographer,journalist,writer,,52,
53,http://www.wikidata.org/entity/Q109102739,war-correspondent,war-correspondent,photographer,,53,
54,http://www.wikidata.org/entity/Q109326653,war-correspondent,war-correspondent,journalist,,54,
55,http://www.wikidata.org/entity/Q109479497,war-photographer,war-photographer,photographer,,55,
56,http://www.wikidata.org/entity/Q109773247,war-correspondent,war-correspondent,journalist,,56,
57,http://www.wikidata.org/entity/Q109851759,war-photographer,war-photographer,photojournalist,,57,
58,http://www.wikidata.org/entity/Q109853850,war-correspondent,war-correspondent,journalist,,58,
59,http://www.wikidata.org/entity/Q110089684,war-correspondent,war-correspondent,journalist,,59,
60,http://www.wikidata.org/entity/Q110136807,NA,photographer,military-officer,,60,
61,http://www.wikidata.org/entity/Q1104100,war-photographer,war-photographer,photographer,,61,
62,http://www.wikidata.org/entity/Q110548609,war-photographer,war-photographer,NA,,62,
63,http://www.wikidata.org/entity/Q110647631,war-photographer,war-photographer,NA,,63,
64,http://www.wikidata.org/entity/Q110701261,war-correspondent,war-correspondent,journalist,,64,
65,http://www.wikidata.org/entity/Q110967291,war-photographer,war-photographer,NA,,65,
66,http://www.wikidata.org/entity/Q110990047,war-correspondent,war-correspondent,painter,,66,
67,http://www.wikidata.org/entity/Q111013476,war-correspondent,war-correspondent,journalist,,67,
68,http://www.wikidata.org/entity/Q111288494,war-correspondent,war-correspondent,journalist,,68,
69,http://www.wikidata.org/entity/Q111305264,war-correspondent,war-correspondent,journalist,,69,
70,http://www.wikidata.org/entity/Q111331681,war-correspondent,war-correspondent,photographer,,70,
71,http://www.wikidata.org/entity/Q1113742,war-correspondent,war-correspondent,journalist,,71,
72,http://www.wikidata.org/entity/Q11140841,war-photographer,war-photographer,photographer,,72,
73,http://www.wikidata.org/entity/Q111433188,war-correspondent,war-correspondent,writer,,73,
74,http://www.wikidata.org/entity/Q111433321,war-correspondent,war-correspondent,journalist,,74,
75,http://www.wikidata.org/entity/Q111461680,war-correspondent,war-correspondent,journalist,,75,
76,http://www.wikidata.org/entity/Q111468993,war-correspondent,war-correspondent,journalist,,76,
77,http://www.wikidata.org/entity/Q111469300,war-correspondent,war-correspondent,journalist,,77,
78,http://www.wikidata.org/entity/Q111470696,war-photographer,war-photographer,NA,,78,
79,http://www.wikidata.org/entity/Q111470738,war-photographer,war-photographer,professional-photographer,,79,
80,http://www.wikidata.org/entity/Q111472987,war-photographer,war-photographer,NA,,80,
81,http://www.wikidata.org/entity/Q111489917,war-photographer,war-photographer,NA,,81,
82,http://www.wikidata.org/entity/Q111490185,war-photographer,war-photographer,NA,,82,
83,http://www.wikidata.org/entity/Q111493746,war-photographer,war-photographer,soldier,,83,
84,http://www.wikidata.org/entity/Q111685918,war-correspondent,war-correspondent,photographer,,84,
85,http://www.wikidata.org/entity/Q111750813,war-correspondent,war-correspondent,journalist,,85,
86,http://www.wikidata.org/entity/Q111765027,war-photographer,war-photographer,television-journalist,,86,
87,http://www.wikidata.org/entity/Q111781829,war-photographer,war-photographer,photographer,,87,
88,http://www.wikidata.org/entity/Q111792947,war-photographer,war-photographer,military-personnel,,88,
89,http://www.wikidata.org/entity/Q111793104,war-correspondent,war-correspondent,youtuber,,89,
90,http://www.wikidata.org/entity/Q111836593,war-photographer,war-photographer,camera-operator,,90,
91,http://www.wikidata.org/entity/Q111838183,war-correspondent,war-correspondent,journalist,,91,
