"pk_person_features","person_uri","occupation_main","occupation_sec2","coded_employer"
15,http://www.wikidata.org/entity/Q104590752,war-photographer,photojournalist,press / corporate and general
20,http://www.wikidata.org/entity/Q106117785,war-correspondent,writer,press / other
22,http://www.wikidata.org/entity/Q1064279,war-correspondent,journalist,other
24,http://www.wikidata.org/entity/Q106490483,war-correspondent,newspaper-editor,press
33,http://www.wikidata.org/entity/Q1072114,war-correspondent,painter,corporate and general
34,http://www.wikidata.org/entity/Q107647521,war-correspondent,war-photographer,corporate and general
38,http://www.wikidata.org/entity/Q108167331,war-correspondent,photographer,press
45,http://www.wikidata.org/entity/Q108321855,war-photographer,illustrator,other
47,http://www.wikidata.org/entity/Q108429845,war-correspondent,journalist,press
49,http://www.wikidata.org/entity/Q108561804,war-correspondent,journalist,press / television and radio
54,http://www.wikidata.org/entity/Q109326653,war-correspondent,journalist,press / television and radio
56,http://www.wikidata.org/entity/Q109773247,war-correspondent,journalist,corporate and general
63,http://www.wikidata.org/entity/Q110647631,war-photographer,NA,other
66,http://www.wikidata.org/entity/Q110990047,war-correspondent,painter,press
68,http://www.wikidata.org/entity/Q111288494,war-correspondent,journalist,corporate and general
71,http://www.wikidata.org/entity/Q1113742,war-correspondent,journalist,press
77,http://www.wikidata.org/entity/Q111469300,war-correspondent,journalist,corporate and general
84,http://www.wikidata.org/entity/Q111685918,war-correspondent,photographer,press / government and military
86,http://www.wikidata.org/entity/Q111765027,war-photographer,television-journalist,corporate and general
96,http://www.wikidata.org/entity/Q112054838,war-correspondent,academic-administrator,press / academic and education
97,http://www.wikidata.org/entity/Q112074603,war-correspondent,actor,press
98,http://www.wikidata.org/entity/Q112103588,war-correspondent,memoirist,press / corporate and general
107,http://www.wikidata.org/entity/Q112326997,war-correspondent,writer,other
122,http://www.wikidata.org/entity/Q112546143,war-correspondent,journalist,press
135,http://www.wikidata.org/entity/Q113499941,war-correspondent,photographer,press
140,http://www.wikidata.org/entity/Q114515974,war-photographer,NA,corporate and general
143,http://www.wikidata.org/entity/Q115037452,war-correspondent,journalist,press
145,http://www.wikidata.org/entity/Q115407029,war-photographer,photojournalist,corporate and general
146,http://www.wikidata.org/entity/Q115408489,war-photographer,photojournalist,corporate and general
147,http://www.wikidata.org/entity/Q115408555,war-photographer,NA,other
148,http://www.wikidata.org/entity/Q115409015,war-photographer,NA,corporate and general
154,http://www.wikidata.org/entity/Q115963230,war-correspondent,journalist,other
156,http://www.wikidata.org/entity/Q116062773,war-correspondent,photojournalist,press / other
161,http://www.wikidata.org/entity/Q117121102,war-correspondent,war-photographer,corporate and general
162,http://www.wikidata.org/entity/Q11715707,war-correspondent,journalist,press / corporate and general
164,http://www.wikidata.org/entity/Q117220565,war-photographer,cinematographer,other
166,http://www.wikidata.org/entity/Q11749538,war-correspondent,journalist,other
173,http://www.wikidata.org/entity/Q118876501,war-correspondent,diplomat,press / corporate and general
174,http://www.wikidata.org/entity/Q11904754,war-correspondent,journalist,press / academic and education
177,http://www.wikidata.org/entity/Q120085,war-correspondent,journalist,press / corporate and general
184,http://www.wikidata.org/entity/Q12105929,war-correspondent,painter,press / corporate and general
199,http://www.wikidata.org/entity/Q123110455,war-correspondent,journalist,corporate and general
202,http://www.wikidata.org/entity/Q123352,war-correspondent,journalist,press
204,http://www.wikidata.org/entity/Q123531486,war-correspondent,novelist,corporate and general
212,http://www.wikidata.org/entity/Q12411282,war-correspondent,journalist,corporate and general
213,http://www.wikidata.org/entity/Q124158563,war-correspondent,journalist,corporate and general
231,http://www.wikidata.org/entity/Q125526373,war-photographer,NA,corporate and general
233,http://www.wikidata.org/entity/Q125649890,war-correspondent,reporter,press / corporate and general
239,http://www.wikidata.org/entity/Q1274616,war-correspondent,journalist,other
240,http://www.wikidata.org/entity/Q12749616,war-correspondent,journalist,other
249,http://www.wikidata.org/entity/Q12792181,war-correspondent,journalist,other
253,http://www.wikidata.org/entity/Q128799375,war-correspondent,reporter,press
257,http://www.wikidata.org/entity/Q130211524,war-correspondent,journalist,press / other
260,http://www.wikidata.org/entity/Q130551164,war-photographer,photojournalist,press / government and military
264,http://www.wikidata.org/entity/Q131324277,war-correspondent,filmmaker,other
278,http://www.wikidata.org/entity/Q133284665,war-correspondent,journalist,other
281,http://www.wikidata.org/entity/Q133653,war-correspondent,journalist,press / corporate and general
288,http://www.wikidata.org/entity/Q1348644,war-photographer,photographer,press / corporate and general
294,http://www.wikidata.org/entity/Q135493752,war-correspondent,journalist,press
296,http://www.wikidata.org/entity/Q13560405,war-correspondent,journalist,press
299,http://www.wikidata.org/entity/Q13562982,war-correspondent,journalist,press
304,http://www.wikidata.org/entity/Q136213693,war-correspondent,cinematographer,corporate and general
307,http://www.wikidata.org/entity/Q136386664,war-correspondent,journalist,press / corporate and general
308,http://www.wikidata.org/entity/Q136631472,war-correspondent,translator,other
311,http://www.wikidata.org/entity/Q1371063,war-photographer,photographer,other
324,http://www.wikidata.org/entity/Q1388736,war-correspondent,writer,press
328,http://www.wikidata.org/entity/Q139545676,war-correspondent,writer,press / television and radio
329,http://www.wikidata.org/entity/Q139591540,war-correspondent,journalist,press
330,http://www.wikidata.org/entity/Q139674805,war-photographer,photographer,press
337,http://www.wikidata.org/entity/Q1483880,war-photographer,photographer,press / corporate and general
340,http://www.wikidata.org/entity/Q15071250,war-correspondent,journalist,press / corporate and general
342,http://www.wikidata.org/entity/Q15127495,war-correspondent,journalist,press / corporate and general
345,http://www.wikidata.org/entity/Q152524,war-correspondent,journalist,press
352,http://www.wikidata.org/entity/Q155106,war-correspondent,journalist,press / corporate and general
358,http://www.wikidata.org/entity/Q15963314,war-correspondent,journalist,press
363,http://www.wikidata.org/entity/Q15977771,war-photographer,NA,other
365,http://www.wikidata.org/entity/Q15997458,war-photographer,photographer,other
368,http://www.wikidata.org/entity/Q16015140,war-correspondent,journalist,press / corporate and general
369,http://www.wikidata.org/entity/Q160375,war-correspondent,journalist,other
370,http://www.wikidata.org/entity/Q1605885,war-photographer,photographer,corporate and general
386,http://www.wikidata.org/entity/Q16663578,war-correspondent,journalist,press / television and radio
390,http://www.wikidata.org/entity/Q1678898,war-correspondent,writer,press / corporate and general
393,http://www.wikidata.org/entity/Q16943490,war-correspondent,journalist,other
398,http://www.wikidata.org/entity/Q1708879,war-correspondent,journalist,other
403,http://www.wikidata.org/entity/Q17418894,war-correspondent,journalist,other
406,http://www.wikidata.org/entity/Q17432488,war-correspondent,journalist,other
407,http://www.wikidata.org/entity/Q1743447,war-correspondent,writer,corporate and general
